,book_to_market,market_cap,beta,discr_r
2020-11-30,0.49855096340712785,656458412.432778,1.5224851895689622,0.207813264256123
2020-11-30,0.158905851028961,60967075614.97699,0.9067117940290625,0.06657320740670536
2020-11-30,0.3493677210726083,2382477280.844,1.8697674227427528,0.15026153114598206
2020-11-30,0.39616699246893355,454550386.20388,1.100702010402792,-0.07018720712007664
2020-11-30,0.7259830814045412,53195300.0,1.1180058697560216,0.11428571428571432
2020-11-30,1.2100429140053683,394068755.69295,1.1141336833008497,0.11948666323969737
2020-11-30,0.7420542347465522,9177861820.053999,1.1771374339439151,0.3387404257741684
2020-11-30,0.631911338475511,2621914334.9483347,1.1278581624237813,0.18724941699019193
2020-11-30,0.07714891822082327,35934981003.82159,1.4217710573100377,0.28281768144653774
2020-11-30,0.105755092996596,11800489233.881313,0.6689409752666301,-0.03117630027949969
2020-11-30,0.5699884695594253,3349630935.722,1.5334146919475953,0.3274088032039242
2020-11-30,0.9205071082399572,2766908904.64551,1.3112801040823332,0.12238592146347549
2020-11-30,0.11991118388626901,10004195695.370417,1.1315995382176287,0.07630495268007031
2020-11-30,-0.7557445700896696,59177812.841419995,1.0715501778994017,0.1611193191681315
2020-11-30,0.036202324779668824,3626888379.6528,1.0065989230398094,0.055702050551098115
2020-11-30,1.1340849378392697,5427286763.643274,1.5279185367285473,0.1930877373018629
2020-11-30,1.3176098501877371,1470838597.107975,0.8764470447580163,-0.05662607186148161
2020-11-30,0.24876275855190824,31252755586.983215,1.3679833484315111,0.298297320640611
2020-11-30,0.6115427416020971,474004336.93299997,1.0454778287443134,-0.02310924369747891
2020-11-30,1.5001076683899515,432501477.4470857,1.6839776170462408,0.476340539670415
2020-11-30,2.6924639582261087,187109711.76296112,1.0989975402277476,0.3157175244278625
2020-11-30,0.6568818778250429,66764061.0,0.7001577785688763,0.25268817204301075
2020-11-30,0.43784648675693294,58174662.0,1.1366273654394228,1.0818181818181816
2020-11-30,-0.07179687360696414,119569992.99341519,1.297948688338781,0.9652174666610549
2020-11-30,0.5313755272866953,653801990.1474,1.3348081129430667,0.08860092475427139
2020-11-30,-2.667656541156675,801967303.9399999,0.681070099774163,0.11536352567722652
2020-11-30,77.6575912393698,811726175.871,0.9301061785296538,0.1348547717842321
2020-11-30,0.06396730652972403,7342092202.220215,0.9035111703426881,0.350152284577004
